benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.290898,3.357059,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.280054,3.487046,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.290480,3.361892,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.283475,3.444974,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.289676,3.371219,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.294669,3.314095,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.300968,3.244739,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.292583,3.337726,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.015462,63.157239,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.014864,65.699842,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.023040,42.385526,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.020989,46.527792,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.027750,35.190935,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.025837,37.797349,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.034086,28.649622,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.029696,32.885322,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,17.612938,5.544575,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,17.668318,5.527196,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,17.811657,5.482716,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,17.955088,5.438918,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.239650,5.354064,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.399610,5.307517,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.447241,5.293813,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.454438,5.291749,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,0.971059,100.566729,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,0.941363,103.739179,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.291878,75.592447,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.233590,79.164242,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.714381,56.962985,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.724928,56.614679,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,2.006528,48.669266,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.878278,51.992427,0.000000
