benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.292536,3.338269,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.280470,3.481884,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.277829,3.514979,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.280298,3.484010,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.283451,3.445260,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.284181,3.436410,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.299900,3.256289,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.290398,3.362837,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.015462,63.157239,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.024355,40.096674,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.023117,42.244709,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.025088,38.925482,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.027558,35.436109,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.028262,34.553416,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.033974,28.744069,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.032154,30.371793,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,17.662713,5.528949,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.539414,5.267494,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.052538,5.409558,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.040395,5.413199,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.400391,5.307292,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.484047,5.283272,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.712231,5.218846,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.645593,5.237498,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,0.976486,100.007794,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.746125,55.927416,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.301603,75.027665,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.397350,69.886730,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.720525,56.759572,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.776406,54.974045,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.995600,48.935785,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.911830,51.079977,0.000000
