benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.285220,3.423892,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.275979,3.538537,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.281815,3.465261,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.278293,3.509116,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.283538,3.444208,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.293950,3.322208,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.291216,3.353398,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.292995,3.333030,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.015462,63.157239,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.014950,65.320156,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.022938,42.574746,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.021184,46.099060,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.027584,35.403221,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.025798,37.853605,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.034061,28.671156,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.029696,32.885322,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,17.579690,5.555061,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,17.630058,5.539190,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,17.788022,5.490000,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,17.789040,5.489686,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.339568,5.324894,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.247254,5.351833,0.000000
ctr,e2e,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.703526,5.221275,0.000000
ctr,e2e,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.554513,5.263207,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,0.975565,100.102272,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,0.946614,103.163711,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.301504,75.033382,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.248528,78.217108,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.720768,56.751550,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.744768,55.970910,0.000000
ctr,kernel,V2,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.999258,48.846255,0.000000
ctr,kernel,V3,crypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.883648,51.844216,0.000000
