benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.297512,3.282431,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.295153,3.308661,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.294810,3.312517,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.296941,3.288738,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.301405,3.240030,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.300572,3.249009,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.299717,3.258282,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.299222,3.263674,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.313713,3.112921,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.304320,3.208999,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.302239,3.231098,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.317422,3.076541,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.310484,3.145295,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.327800,2.979141,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.323266,3.020922,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.316822,3.082372,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.023747,41.123270,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.023245,42.012085,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.022630,43.152685,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.023245,42.012085,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.028662,34.071203,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.027850,35.065585,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.027341,35.718140,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.027715,35.235629,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.032666,29.895745,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.032454,30.090295,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.030717,31.792455,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.031027,31.474399,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.039629,24.642747,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.039322,24.835268,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.036250,26.939953,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.036454,26.788604,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.721071,5.216382,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.175549,5.372946,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.038175,5.413865,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.010364,5.422225,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.461370,5.289762,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.215061,5.361292,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.321418,5.330169,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.400119,5.307371,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.649849,5.236302,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.604384,5.249099,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.733021,5.213054,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.588817,5.253495,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.771930,5.202249,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.788538,5.197650,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.768448,5.203214,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.697393,5.222988,0.000000
