benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.297545,3.282064,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.294722,3.313506,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.304438,3.207757,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.305050,3.201324,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.300323,3.251705,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.297189,3.285998,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.301011,3.244271,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.299392,3.261819,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.304991,3.201935,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.303007,3.222908,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.316050,3.089897,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.307251,3.178385,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.312191,3.128093,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.318466,3.066461,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.308715,3.163310,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.312450,3.125498,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.023846,40.952199,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.023107,42.262261,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.032432,30.111080,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,3,10,0.031021,31.480894,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.028672,34.059796,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.027955,34.933124,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.031530,30.972880,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,3,10,0.030275,32.256188,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.032522,30.028120,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.032666,29.895745,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.034509,28.298941,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,3,10,0.034992,27.908164,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.039382,24.796926,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.039005,25.036983,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.040109,24.347836,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,3,10,0.039526,24.706589,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.845062,5.182061,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.108999,5.392692,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.905806,5.165411,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,2,5,18.871162,5.174893,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.614048,5.246373,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.503891,5.277606,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.641724,5.238585,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,2,5,18.523623,5.271984,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.680215,5.227790,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.625855,5.243048,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.714231,5.218288,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,2,5,18.631154,5.241557,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.832063,5.185637,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.895216,5.168305,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.791285,5.196891,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.873657,5.174209,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.215184,80.363343,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.129043,86.494698,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.845843,52.906040,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.813709,53.843399,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.553808,62.849624,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.380864,70.721123,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.721549,56.725808,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.618253,60.346723,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.808000,54.013413,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.779898,54.866215,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.815610,53.787033,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.765946,55.299692,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.973350,49.487538,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.947648,50.140604,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.991258,49.042498,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.962189,49.769041,0.000000
