benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.293981,3.321860,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.293121,3.331604,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.300794,3.246616,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,128,0,2,5,0.292331,3.340601,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.296601,3.292515,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.295709,3.302442,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.302854,3.224532,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,256,0,2,5,0.299989,3.255326,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.299285,3.262987,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.304670,3.205310,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.301365,3.240462,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,512,0,2,5,0.300977,3.244646,0.000000
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.308655,3.163925,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.305061,3.201202,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.302726,3.225898,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,1048576,32768,0,1024,0,2,5,0.307715,3.173594,0.000000
