benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
es,full_api,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,256,1,3,0.154153,0.000000,1700544264.464525
es,full_api,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,256,1,3,0.186546,0.000000,1405253762.706897
es,full_api,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,512,512,1,3,0.229857,0.000000,1140467247.705091
es,full_api,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,512,512,1,3,0.152807,0.000000,1715523503.504421
es,full_api,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,1024,1,3,0.230560,0.000000,1136989846.446111
es,full_api,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,1024,1,3,0.172374,0.000000,1520783256.594659
es,full_api,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,1024,1024,1,3,0.173686,0.000000,1509295492.449031
es,full_api,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,1024,1024,1,3,0.159416,0.000000,1644405505.941491
es,launch_only,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,256,2,5,0.132301,0.000000,1981424236.600636
es,launch_only,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,256,2,5,0.166502,0.000000,1574415704.320555
es,launch_only,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,512,512,2,5,0.210330,0.000000,1246348563.535843
es,launch_only,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,512,512,2,5,0.134144,0.000000,1954198528.076622
es,launch_only,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,1024,2,5,0.209133,0.000000,1253481098.258996
es,launch_only,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,256,1024,2,5,0.152986,0.000000,1713520787.110969
es,launch_only,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,1024,1024,2,5,0.152986,0.000000,1713520787.110969
es,launch_only,V3,search,"NVIDIA GeForce RTX 4080",8.9,0,0,262144,1024,1024,2,5,0.138227,0.000000,1896471888.574529
es,full_api,V2,search,"NVIDIA GeForce RTX 4080",8.9,0,0,1048576,256,256,1,3,0.535288,0.000000,1958900629.194004
